Age_Ma,CO2_xPAL,CO2_ppm,DeltaT_K,T_C,F_sil_total,F_degas,F_prec,Fw_D,Fw_C,F_vsw_Mg,WI_mult,F_sil_blag,pH,Dolomite,Calcite,M_Mg,M_Ca,M_HCO3
424,5.13620149518523,1438.13641865186,4.71560172203659,19.7156017220366,8.12717835549048,8.06492752589804,25.7633792113107,1.38130635033708,14.8256256655612,5.75173873859824,1,8.12717835549048,7.42985561265955,492.853568851867,4012.96720498189,56.0962815858086,33.4528015302627,3.89816623214511
423,12.7505684174277,3570.15915687975,7.33483790102608,22.3348379010261,5.78628802652907,8.04685082038289,29.1653851410192,1.94351910399429,20.989289636176,5.67854735888941,0.711967644049552,11.4977361604245,7.21680319051441,490.172048397699,4015.88632175254,55.454563460481,35.1070866340701,5.92330018910453
422,29.3467958789318,8217.1028461009,9.73693869747043,24.7369386974704,5.6558368418954,8.02592204251335,37.5231816656232,2.5763940835375,28.0369320713261,5.63392305312791,0.695916417051988,15.347114743485,7.02318252477331,486.815183332942,4018.88189276647,55.090511991411,36.8738214057412,8.72866679430667
421,50.4621941600282,14129.4143648079,11.2997383249985,26.2997383249985,5.52538565726173,8.00425700644607,44.0533832360249,3.06132849580199,33.6173305302699,5.64042618467182,0.679865190054424,18.3832185861186,6.89809028618155,482.916859193677,4022.99083435607,55.2261057893448,38.0014074995397,11.2550265777714
420,75.1807995155215,21050.623864346,12.4492674632599,27.4492674632599,5.39493447262807,7.98194950497646,49.5501616958264,3.45915255830329,38.3762739946838,5.68198908083014,0.66381396305686,20.9601251811884,6.80712526482595,478.591261953858,4027.93577945987,55.7058305241368,38.6950458053936,13.6017526590632
419,102.897157723944,28811.2041627044,13.3534987121651,28.3534987121651,5.2644832879944,7.94352589388669,53.590954522804,3.73778468110209,41.9322754646547,5.7346461793402,0.647762736059295,22.8710769107276,6.73644119256947,473.940102984174,4033.49622004809,56.4063600001854,39.1032551541889,15.8192303087509
418,133.190073840614,37293.2206753718,14.0972076145218,29.0972076145218,5.13403210336073,7.90476172929329,57.0605353730122,3.96671287973012,45.0312183868875,5.79944522385654,0.631711509061731,24.525245511918,6.67892654313638,469.050551861687,4039.49160710206,57.2313721394176,39.3370454172479,17.9368351133334
417,165.841979219859,46435.7541815605,14.7291644001918,29.7291644001918,5.00358091872706,7.86571659762885,60.1121170264977,4.15813306082024,47.7963465432658,5.87098315940725,0.615660282064167,25.9908754656016,6.63049875002957,463.966015808643,4045.82371162961,58.1285483377297,39.4604256102771,19.977947896016
416,200.732133366399,56204.9973425916,15.2787366126187,30.2787366126187,4.87312973409339,7.82643148656476,62.8430295246921,4.31988927545772,50.3060144142909,5.94537178252423,0.599609055066603,27.3114709381555,6.58867263133144,458.7188916551,4052.42008152743,59.0600333447553,39.5184005688534,21.9568678272199
415,237.732544078563,66565.1123419975,15.7666506758615,30.7666506758615,4.74267854945973,7.7869464341302,65.3262715370463,4.4580384631906,52.6188284091678,6.01977240140587,0.583557828069039,28.5197535197636,6.5516912822732,453.338538169787,4059.21880439286,59.9977599958009,39.5441546758207,23.8838293432458
414,276.829960446425,77512.3889249989,16.2051604353202,31.2051604353202,4.61222736482606,7.74728889929313,67.6059209139207,4.5761977944818,54.7701249235347,6.09209703843439,0.567506601071475,29.6354567238684,6.51849847080971,447.844421981121,4066.17702067102,60.921032110359,39.5607116607316,25.7634875421837
413,317.964481869286,89030.0549234,16.6044256182517,31.6044256182518,4.48177618019239,7.70748829585974,69.7200990895632,4.67765754734715,56.7905403601,6.16085886980596,0.55145537407391,30.6758220909957,6.48823045856408,442.256346447628,4073.2545203629,61.8147053697248,39.5851647497928,27.5997402390378
412,361.130523069364,101116.546459422,16.9712237673452,31.9712237673452,4.35132499555872,7.66756779398169,71.6946523833189,4.76465392683517,58.7008162393998,6.22493341989142,0.535404147076346,31.6525531170509,6.46030643880017,436.589398208506,4080.41996696499,62.6671985013176,39.6298304232719,29.3940578491814
411,406.311061660678,113767.09726499,17.3109823542374,32.3109823542374,4.22087381092505,7.62754923933032,73.550578524341,4.83908735170418,60.517958890634,6.28355269732517,0.519352920078782,32.575308466805,6.43426855380405,430.857436209545,4087.64567053601,63.4703134320567,39.7033608947241,31.1473486535643
410,453.472823787447,126972.390660485,17.6280555744195,32.6280555744195,4.09042262629139,7.58742084340675,75.3055721970898,4.90257606075736,62.2558858506616,6.33624334254261,0.503301693081218,33.4520472686601,6.40975829882386,425.072864370437,4094.90791220479,64.2189504538832,39.8112264191282,32.8603537460253
409,502.473892606704,140692.689929877,17.9237356162417,32.9237356162417,3.95997144165772,7.52173035220342,76.9640374423174,4.95550225391513,63.9161463944085,6.36187622010948,0.487250466083654,34.2837925686022,6.38671165312489,419.246263673333,4102.1973003191,64.917111252972,39.947442867461,34.5291082408687
408,553.06732390495,154858.850693386,18.2001353621847,33.2001353621847,3.82952025702405,7.45610439556421,78.5302236619189,4.99873608862701,65.5037334894534,6.38228710529005,0.471199239086089,35.0735700476245,6.36500921062889,413.390032485434,4109.50368392525,65.5714757174489,40.1047984271038,36.1525482891082
407,605.244422925965,169468.43841927,18.4598669564376,33.4598669564376,3.69906907239038,7.39058855751932,80.0147406886045,5.03335796858779,67.0276911187129,6.39723049334302,0.455148012088525,35.82659294801,6.34443206301188,407.513254535842,4116.80839768326,66.1783080009427,40.2875169911186,37.7316499841254
406,659.001772013612,184520.496163811,18.7050133889062,33.7050133889061,3.56861788775671,7.32519535990218,81.4272873881776,5.06025884715288,68.4952676906484,6.40654973920009,0.439096785090961,36.5470696652165,6.32480877571535,401.623962091616,4124.09490131782,66.7349860677195,40.4985524513799,39.2670770382015
405,714.317480079743,200008.894422328,18.9374225902156,33.9374225902156,3.43816670312304,7.25993410391337,82.7757535414952,5.08027355389034,69.9129865215334,6.41025509801352,0.423045558093397,37.2388117628685,6.30599359044979,395.729321254313,4131.34898926903,67.2404831723729,40.7394702366054,40.7599068179596
